,sents
23,"Such reasons would have been enough to account for plain dress, quite apart from religious feeling; but in Miss Brooke’s case, religion alone would have determined it; and Celia mildly acquiesced in all her sister’s sentiments, only infusing them with that common-sense which is able to accept momentous doctrines without any eccentric agitation."
24,"Dorothea knew many passages of Pascal’s Pensees and of Jeremy Taylor by heart; and to her the destinies of mankind, seen by the light of Christianity, made the solicitudes of feminine fashion appear an occupation for Bedlam."
25,"She could not reconcile the anxieties of a spiritual life involving eternal consequences, with a keen interest in gimp and artificial protrusions of drapery."
26,"Her mind was theoretic, and yearned by its nature after some lofty conception of the world which might frankly include the parish of Tipton and her own rule of conduct there; she was enamoured of intensity and greatness, and rash in embracing whatever seemed to her to have those aspects; likely to seek martyrdom, to make retractations, and then to incur martyrdom after all in a quarter where she had not sought it."
27,"Certainly such elements in the character of a marriageable girl tended to interfere with her lot, and hinder it from being decided according to custom, by good looks, vanity, and merely canine affection."
28,"With all this, she, the elder of the sisters, was not yet twenty, and they had both been educated, since they were about twelve years old and had lost their parents, on plans at once narrow and promiscuous, first in an English family and afterwards in a Swiss family at Lausanne, their bachelor uncle and guardian trying in this way to remedy the disadvantages of their orphaned condition."
29,"It was hardly a year since they had come to live at Tipton Grange with their uncle, a man nearly sixty, of acquiescent temper, miscellaneous opinions, and uncertain vote."
30,"He had travelled in his younger years, and was held in this part of the county to have contracted a too rambling habit of mind."
31,"Mr. Brooke’s conclusions were as difficult to predict as the weather: it was only safe to say that he would act with benevolent intentions, and that he would spend as little money as possible in carrying them out."
32,"For the most glutinously indefinite minds enclose some hard grains of habit; and a man has been seen lax about all his own interests except the retention of his snuff-box, concerning which he was watchful, suspicious, and greedy of clutch."
33,"In Mr. Brooke the hereditary strain of Puritan energy was clearly in abeyance; but in his niece Dorothea it glowed alike through faults and virtues, turning sometimes into impatience of her uncle’s talk or his way of “letting things be” on his estate, and making her long all the more for the time when she would be of age and have some command of money for generous schemes."
34,"She was regarded as an heiress; for not only had the sisters seven hundred a-year each from their parents, but if Dorothea married and had a son, that son would inherit Mr. Brooke’s estate, presumably worth about three thousand a-year—a rental which seemed wealth to provincial families, still discussing Mr. Peel’s late conduct on the Catholic question, innocent of future gold-fields, and of that gorgeous plutocracy which has so nobly exalted the necessities of genteel life."
35,And how should Dorothea not marry?—a girl so handsome and with such prospects?
36,"Nothing could hinder it but her love of extremes, and her insistence on regulating life according to notions which might cause a wary man to hesitate before he made her an offer, or even might lead her at last to refuse all offers."
37,"A young lady of some birth and fortune, who knelt suddenly down on a brick floor by the side of a sick laborer and prayed fervidly as if she thought herself living in the time of the Apostles—who had strange whims of fasting like a Papist, and of sitting up at night to read old theological books!"
38,Such a wife might awaken you some fine morning with a new scheme for the application of her income which would interfere with political economy and the keeping of saddle-horses: a man would naturally think twice before he risked himself in such fellowship.
39,"Women were expected to have weak opinions; but the great safeguard of society and of domestic life was, that opinions were not acted on."
40,"Sane people did what their neighbors did, so that if any lunatics were at large, one might know and avoid them."
41,"The rural opinion about the new young ladies, even among the cottagers, was generally in favor of Celia, as being so amiable and innocent-looking, while Miss Brooke’s large eyes seemed, like her religion, too unusual and striking."
42,Poor Dorothea!
43,"compared with her, the innocent-looking Celia was knowing and worldly-wise; so much subtler is a human mind than the outside tissues which make a sort of blazonry or clock-face for it."
44,"Yet those who approached Dorothea, though prejudiced against her by this alarming hearsay, found that she had a charm unaccountably reconcilable with it."
45,Most men thought her bewitching when she was on horseback.
46,"She loved the fresh air and the various aspects of the country, and when her eyes and cheeks glowed with mingled pleasure she looked very little like a devotee."
47,"Riding was an indulgence which she allowed herself in spite of conscientious qualms; she felt that she enjoyed it in a pagan sensuous way, and always looked forward to renouncing it."
48,"She was open, ardent, and not in the least self-admiring; indeed, it was pretty to see how her imagination adorned her sister Celia with attractions altogether superior to her own, and if any gentleman appeared to come to the Grange from some other motive than that of seeing Mr. Brooke, she concluded that he must be in love with Celia: Sir James Chettam, for example, whom she constantly considered from Celia’s point of view, inwardly debating whether it would be good for Celia to accept him."
49,That he should be regarded as a suitor to herself would have seemed to her a ridiculous irrelevance.
50,"Dorothea, with all her eagerness to know the truths of life, retained very childlike ideas about marriage."
51,"She felt sure that she would have accepted the judicious Hooker, if she had been born in time to save him from that wretched mistake he made in matrimony; or John Milton when his blindness had come on; or any of the other great men whose odd habits it would have been glorious piety to endure; but an amiable handsome baronet, who said “Exactly” to her remarks even when she expressed uncertainty,—how could he affect her as a lover?"
52,"The really delightful marriage must be that where your husband was a sort of father, and could teach you even Hebrew, if you wished it."
53,These peculiarities of Dorothea’s character caused Mr. Brooke to be all the more blamed in neighboring families for not securing some middle-aged lady as guide and companion to his nieces.
54,"But he himself dreaded so much the sort of superior woman likely to be available for such a position, that he allowed himself to be dissuaded by Dorothea’s objections, and was in this case brave enough to defy the world—that is to say, Mrs. Cadwallader the Rector’s wife, and the small group of gentry with whom he visited in the northeast corner of Loamshire."
55,"So Miss Brooke presided in her uncle’s household, and did not at all dislike her new authority, with the homage that belonged to it."
56,"Sir James Chettam was going to dine at the Grange to-day with another gentleman whom the girls had never seen, and about whom Dorothea felt some venerating expectation."
57,"This was the Reverend Edward Casaubon, noted in the county as a man of profound learning, understood for many years to be engaged on a great work concerning religious history; also as a man of wealth enough to give lustre to his piety, and having views of his own which were to be more clearly ascertained on the publication of his book."
58,His very name carried an impressiveness hardly to be measured without a precise chronology of scholarship.
59,"Early in the day Dorothea had returned from the infant school which she had set going in the village, and was taking her usual place in the pretty sitting-room which divided the bedrooms of the sisters, bent on finishing a plan for some buildings (a kind of work which she delighted in), when Celia, who had been watching her with a hesitating desire to propose something, said—  “Dorothea, dear, if you don’t mind—if you are not very busy—suppose we looked at mamma’s jewels to-day, and divided them?"
60,"It is exactly six months to-day since uncle gave them to you, and you have not looked at them yet.”  Celia’s face had the shadow of a pouting expression in it, the full presence of the pout being kept back by an habitual awe of Dorothea and principle; two associated facts which might show a mysterious electricity if you touched them incautiously."
61,"To her relief, Dorothea’s eyes were full of laughter as she looked up."
62,"“What a wonderful little almanac you are, Celia!"
63,"Is it six calendar or six lunar months?”  “It is the last day of September now, and it was the first of April when uncle gave them to you."
64,"You know, he said that he had forgotten them till then."
65,"I believe you have never thought of them since you locked them up in the cabinet here.”  “Well, dear, we should never wear them, you know.” Dorothea spoke in a full cordial tone, half caressing, half explanatory."
66,"She had her pencil in her hand, and was making tiny side-plans on a margin."
67,"Celia colored, and looked very grave."
68,"“I think, dear, we are wanting in respect to mamma’s memory, to put them by and take no notice of them."
69,"And,” she added, after hesitating a little, with a rising sob of mortification, “necklaces are quite usual now; and Madame Poincon, who was stricter in some things even than you are, used to wear ornaments."
70,And Christians generally—surely there are women in heaven now who wore jewels.” Celia was conscious of some mental strength when she really applied herself to argument.
71,"“You would like to wear them?” exclaimed Dorothea, an air of astonished discovery animating her whole person with a dramatic action which she had caught from that very Madame Poincon who wore the ornaments."
72,"“Of course, then, let us have them out."
73,Why did you not tell me before?
74,"But the keys, the keys!” She pressed her hands against the sides of her head and seemed to despair of her memory."
75,"“They are here,” said Celia, with whom this explanation had been long meditated and prearranged."
76,"“Pray open the large drawer of the cabinet and get out the jewel-box.”  The casket was soon open before them, and the various jewels spread out, making a bright parterre on the table."
77,"It was no great collection, but a few of the ornaments were really of remarkable beauty, the finest that was obvious at first being a necklace of purple amethysts set in exquisite gold work, and a pearl cross with five brilliants in it."
78,"Dorothea immediately took up the necklace and fastened it round her sister’s neck, where it fitted almost as closely as a bracelet; but the circle suited the Henrietta-Maria style of Celia’s head and neck, and she could see that it did, in the pier-glass opposite."
79,"“There, Celia!"
80,you can wear that with your Indian muslin.
81,But this cross you must wear with your dark dresses.”  Celia was trying not to smile with pleasure.
82,"“O Dodo, you must keep the cross yourself.”  “No, no, dear, no,” said Dorothea, putting up her hand with careless deprecation."
83,"“Yes, indeed you must; it would suit you—in your black dress, now,” said Celia, insistingly."
84,"“You might wear that.”  “Not for the world, not for the world."
85,A cross is the last thing I would wear as a trinket.” Dorothea shuddered slightly.
86,"“Then you will think it wicked in me to wear it,” said Celia, uneasily."
87,"“No, dear, no,” said Dorothea, stroking her sister’s cheek."
88,"“Souls have complexions too: what will suit one will not suit another.”  “But you might like to keep it for mamma’s sake.”  “No, I have other things of mamma’s—her sandal-wood box which I am so fond of—plenty of things."
89,"In fact, they are all yours, dear."
90,We need discuss them no longer.
91,There—take away your property.”  Celia felt a little hurt.
92,"There was a strong assumption of superiority in this Puritanic toleration, hardly less trying to the blond flesh of an unenthusiastic sister than a Puritanic persecution."
93,"“But how can I wear ornaments if you, who are the elder sister, will never wear them?”  “Nay, Celia, that is too much to ask, that I should wear trinkets to keep you in countenance."
94,"If I were to put on such a necklace as that, I should feel as if I had been pirouetting."
95,"The world would go round with me, and I should not know how to walk.”  Celia had unclasped the necklace and drawn it off."
96,"“It would be a little tight for your neck; something to lie down and hang would suit you better,” she said, with some satisfaction."
97,"The complete unfitness of the necklace from all points of view for Dorothea, made Celia happier in taking it."
98,"She was opening some ring-boxes, which disclosed a fine emerald with diamonds, and just then the sun passing beyond a cloud sent a bright gleam over the table."
99,"“How very beautiful these gems are!” said Dorothea, under a new current of feeling, as sudden as the gleam."
100,"“It is strange how deeply colors seem to penetrate one, like scent."
101,I suppose that is the reason why gems are used as spiritual emblems in the Revelation of St. John.
102,They look like fragments of heaven.
103,"I think that emerald is more beautiful than any of them.”  “And there is a bracelet to match it,” said Celia."
104,"“We did not notice this at first.”  “They are lovely,” said Dorothea, slipping the ring and bracelet on her finely turned finger and wrist, and holding them towards the window on a level with her eyes."
105,All the while her thought was trying to justify her delight in the colors by merging them in her mystic religious joy.
106,"“You would like those, Dorothea,” said Celia, rather falteringly, beginning to think with wonder that her sister showed some weakness, and also that emeralds would suit her own complexion even better than purple amethysts."
107,“You must keep that ring and bracelet—if nothing else.
108,"But see, these agates are very pretty and quiet.”  “Yes!"
109,"I will keep these—this ring and bracelet,” said Dorothea."
110,"Then, letting her hand fall on the table, she said in another tone—“Yet what miserable men find such things, and work at them, and sell them!” She paused again, and Celia thought that her sister was going to renounce the ornaments, as in consistency she ought to do."
111,"“Yes, dear, I will keep these,” said Dorothea, decidedly."
112,"“But take all the rest away, and the casket.”  She took up her pencil without removing the jewels, and still looking at them."
113,"She thought of often having them by her, to feed her eye at these little fountains of pure color."
114,"“Shall you wear them in company?” said Celia, who was watching her with real curiosity as to what she would do."
115,Dorothea glanced quickly at her sister.
116,"Across all her imaginative adornment of those whom she loved, there darted now and then a keen discernment, which was not without a scorching quality."
117,"If Miss Brooke ever attained perfect meekness, it would not be for lack of inward fire."
118,"“Perhaps,” she said, rather haughtily."
119,"“I cannot tell to what level I may sink.”  Celia blushed, and was unhappy: she saw that she had offended her sister, and dared not say even anything pretty about the gift of the ornaments which she put back into the box and carried away."
120,"Dorothea too was unhappy, as she went on with her plan-drawing, questioning the purity of her own feeling and speech in the scene which had ended with that little explosion."
121,"Celia’s consciousness told her that she had not been at all in the wrong: it was quite natural and justifiable that she should have asked that question, and she repeated to herself that Dorothea was inconsistent: either she should have taken her full share of the jewels, or, after what she had said, she should have renounced them altogether."
122,"“I am sure—at least, I trust,” thought Celia, “that the wearing of a necklace will not interfere with my prayers."
123,"And I do not see that I should be bound by Dorothea’s opinions now we are going into society, though of course she herself ought to be bound by them."
124,"But Dorothea is not always consistent.”  Thus Celia, mutely bending over her tapestry, until she heard her sister calling her."
125,"“Here, Kitty, come and look at my plan; I shall think I am a great architect, if I have not got incompatible stairs and fireplaces.”  As Celia bent over the paper, Dorothea put her cheek against her sister’s arm caressingly."
126,Celia understood the action.
127,"Dorothea saw that she had been in the wrong, and Celia pardoned her."
128,"Since they could remember, there had been a mixture of criticism and awe in the attitude of Celia’s mind towards her elder sister."
129,The younger had always worn a yoke; but is there any yoked creature without its private opinions?
130," “‘Dime; no ves aquel caballero que hacia nosotros viene sobre un caballo rucio rodado que trae puesto en la cabeza un yelmo de oro?’ ‘Lo que veo y columbro,’ respondio Sancho, ‘no es sino un hombre sobre un as no pardo como el mio, que trae sobre la cabeza una cosa que relumbra.’ ‘Pues ese es el yelmo de Mambrino,’ dijo Don Quijote.”—CERVANTES."
131,"“‘Seest thou not yon cavalier who cometh toward us on a dapple-gray steed, and weareth a golden helmet?’ ‘What I see,’ answered Sancho, ‘is nothing but a man on a gray ass like my own, who carries something shiny on his head.’ ‘Just so,’ answered Don Quixote: ‘and that resplendent object is the helmet of Mambrino.’”  “Sir Humphry Davy?” said Mr. Brooke, over the soup, in his easy smiling way, taking up Sir James Chettam’s remark that he was studying Davy’s Agricultural Chemistry."
132,"“Well, now, Sir Humphry Davy; I dined with him years ago at Cartwright’s, and Wordsworth was there too—the poet Wordsworth, you know."
133,Now there was something singular.
134,"I was at Cambridge when Wordsworth was there, and I never met him—and I dined with him twenty years afterwards at Cartwright’s."
135,"There’s an oddity in things, now."
136,But Davy was there: he was a poet too.
137,"Or, as I may say, Wordsworth was poet one, and Davy was poet two."
138,"That was true in every sense, you know.”  Dorothea felt a little more uneasy than usual."
139,"In the beginning of dinner, the party being small and the room still, these motes from the mass of a magistrate’s mind fell too noticeably."
140,She wondered how a man like Mr. Casaubon would support such triviality.
141,"His manners, she thought, were very dignified; the set of his iron-gray hair and his deep eye-sockets made him resemble the portrait of Locke."
142,He had the spare form and the pale complexion which became a student; as different as possible from the blooming Englishman of the red-whiskered type represented by Sir James Chettam.
143,"“I am reading the Agricultural Chemistry,” said this excellent baronet, “because I am going to take one of the farms into my own hands, and see if something cannot be done in setting a good pattern of farming among my tenants."
144,"Do you approve of that, Miss Brooke?”  “A great mistake, Chettam,” interposed Mr. Brooke, “going into electrifying your land and that kind of thing, and making a parlor of your cow-house."
145,It won’t do.
146,I went into science a great deal myself at one time; but I saw it would not do.
147,It leads to everything; you can let nothing alone.
148,"No, no—see that your tenants don’t sell their straw, and that kind of thing; and give them draining-tiles, you know."
149,"But your fancy farming will not do—the most expensive sort of whistle you can buy: you may as well keep a pack of hounds.”  “Surely,” said Dorothea, “it is better to spend money in finding out how men can make the most of the land which supports them all, than in keeping dogs and horses only to gallop over it."
150,"It is not a sin to make yourself poor in performing experiments for the good of all.”  She spoke with more energy than is expected of so young a lady, but Sir James had appealed to her."
151,"He was accustomed to do so, and she had often thought that she could urge him to many good actions when he was her brother-in-law."
152,"Mr. Casaubon turned his eyes very markedly on Dorothea while she was speaking, and seemed to observe her newly."
153,"“Young ladies don’t understand political economy, you know,” said Mr. Brooke, smiling towards Mr. Casaubon."
154,“I remember when we were all reading Adam Smith.
155,"There is a book, now."
156,"I took in all the new ideas at one time—human perfectibility, now."
157,"But some say, history moves in circles; and that may be very well argued; I have argued it myself."
158,"The fact is, human reason may carry you a little too far—over the hedge, in fact."
159,It carried me a good way at one time; but I saw it would not do.
160,I pulled up; I pulled up in time.
161,But not too hard.
162,I have always been in favor of a little theory: we must have Thought; else we shall be landed back in the dark ages.
163,"But talking of books, there is Southey’s ‘Peninsular War.’ I am reading that of a morning."
164,"You know Southey?”  “No,” said Mr. Casaubon, not keeping pace with Mr. Brooke’s impetuous reason, and thinking of the book only."
165,“I have little leisure for such literature just now.
166,"I have been using up my eyesight on old characters lately; the fact is, I want a reader for my evenings; but I am fastidious in voices, and I cannot endure listening to an imperfect reader."
167,"It is a misfortune, in some senses: I feed too much on the inward sources; I live too much with the dead."
168,"My mind is something like the ghost of an ancient, wandering about the world and trying mentally to construct it as it used to be, in spite of ruin and confusing changes."
169,But I find it necessary to use the utmost caution about my eyesight.”  This was the first time that Mr. Casaubon had spoken at any length.
170,"He delivered himself with precision, as if he had been called upon to make a public statement; and the balanced sing-song neatness of his speech, occasionally corresponded to by a movement of his head, was the more conspicuous from its contrast with good Mr. Brooke’s scrappy slovenliness."
171,"Dorothea said to herself that Mr. Casaubon was the most interesting man she had ever seen, not excepting even Monsieur Liret, the Vaudois clergyman who had given conferences on the history of the Waldenses."
172,"To reconstruct a past world, doubtless with a view to the highest purposes of truth—what a work to be in any way present at, to assist in, though only as a lamp-holder!"
173,"This elevating thought lifted her above her annoyance at being twitted with her ignorance of political economy, that never-explained science which was thrust as an extinguisher over all her lights."
174,"“But you are fond of riding, Miss Brooke,” Sir James presently took an opportunity of saying."
175,“I should have thought you would enter a little into the pleasures of hunting.
176,I wish you would let me send over a chestnut horse for you to try.
177,It has been trained for a lady.
178,I saw you on Saturday cantering over the hill on a nag not worthy of you.
179,"My groom shall bring Corydon for you every day, if you will only mention the time.”  “Thank you, you are very good."
180,I mean to give up riding.
181,"I shall not ride any more,” said Dorothea, urged to this brusque resolution by a little annoyance that Sir James would be soliciting her attention when she wanted to give it all to Mr. Casaubon."
182,"“No, that is too hard,” said Sir James, in a tone of reproach that showed strong interest."
183,"“Your sister is given to self-mortification, is she not?” he continued, turning to Celia, who sat at his right hand."
184,"“I think she is,” said Celia, feeling afraid lest she should say something that would not please her sister, and blushing as prettily as possible above her necklace."
185,"“She likes giving up.”  “If that were true, Celia, my giving-up would be self-indulgence, not self-mortification."
186,"But there may be good reasons for choosing not to do what is very agreeable,” said Dorothea."
187,"Mr. Brooke was speaking at the same time, but it was evident that Mr. Casaubon was observing Dorothea, and she was aware of it."
188,"“Exactly,” said Sir James."
189,"“You give up from some high, generous motive.”  “No, indeed, not exactly."
190,"I did not say that of myself,” answered Dorothea, reddening."
191,"Unlike Celia, she rarely blushed, and only from high delight or anger."
192,At this moment she felt angry with the perverse Sir James.
193,"Why did he not pay attention to Celia, and leave her to listen to Mr. Casaubon?—if that learned man would only talk, instead of allowing himself to be talked to by Mr. Brooke, who was just then informing him that the Reformation either meant something or it did not, that he himself was a Protestant to the core, but that Catholicism was a fact; and as to refusing an acre of your ground for a Romanist chapel, all men needed the bridle of religion, which, properly speaking, was the dread of a Hereafter."
194,"“I made a great study of theology at one time,” said Mr. Brooke, as if to explain the insight just manifested."
195,“I know something of all schools.
196,I knew Wilberforce in his best days.
197,"Do you know Wilberforce?”  Mr. Casaubon said, “No.”  “Well, Wilberforce was perhaps not enough of a thinker; but if I went into Parliament, as I have been asked to do, I should sit on the independent bench, as Wilberforce did, and work at philanthropy.”  Mr. Casaubon bowed, and observed that it was a wide field."
198,"“Yes,” said Mr. Brooke, with an easy smile, “but I have documents."
199,I began a long while ago to collect documents.
200,"They want arranging, but when a question has struck me, I have written to somebody and got an answer."
201,I have documents at my back.
202,"But now, how do you arrange your documents?”  “In pigeon-holes partly,” said Mr. Casaubon, with rather a startled air of effort."
203,"“Ah, pigeon-holes will not do."
204,"I have tried pigeon-holes, but everything gets mixed in pigeon-holes: I never know whether a paper is in A or Z.”  “I wish you would let me sort your papers for you, uncle,” said Dorothea."
205,"“I would letter them all, and then make a list of subjects under each letter.”  Mr. Casaubon gravely smiled approval, and said to Mr. Brooke, “You have an excellent secretary at hand, you perceive.”  “No, no,” said Mr. Brooke, shaking his head; “I cannot let young ladies meddle with my documents."
206,Young ladies are too flighty.”  Dorothea felt hurt.
207,"Mr. Casaubon would think that her uncle had some special reason for delivering this opinion, whereas the remark lay in his mind as lightly as the broken wing of an insect among all the other fragments there, and a chance current had sent it alighting on her."
208,"When the two girls were in the drawing-room alone, Celia said—  “How very ugly Mr. Casaubon is!”  “Celia!"
209,He is one of the most distinguished-looking men I ever saw.
210,He is remarkably like the portrait of Locke.
211,"He has the same deep eye-sockets.”  “Had Locke those two white moles with hairs on them?”  “Oh, I dare say!"
212,"when people of a certain sort looked at him,” said Dorothea, walking away a little."
213,“Mr.
214,Casaubon is so sallow.”  “All the better.
215,"I suppose you admire a man with the complexion of a cochon de lait.”  “Dodo!” exclaimed Celia, looking after her in surprise."
216,“I never heard you make such a comparison before.”  “Why should I make it before the occasion came?
217,"It is a good comparison: the match is perfect.”  Miss Brooke was clearly forgetting herself, and Celia thought so."
218,"“I wonder you show temper, Dorothea.”  “It is so painful in you, Celia, that you will look at human beings as if they were merely animals with a toilet, and never see the great soul in a man’s face.”  “Has Mr. Casaubon a great soul?” Celia was not without a touch of naive malice."
219,"“Yes, I believe he has,” said Dorothea, with the full voice of decision."
220,"“Everything I see in him corresponds to his pamphlet on Biblical Cosmology.”  “He talks very little,” said Celia  “There is no one for him to talk to.”  Celia thought privately, “Dorothea quite despises Sir James Chettam; I believe she would not accept him.” Celia felt that this was a pity."
221,She had never been deceived as to the object of the baronet’s interest.
222,"Sometimes, indeed, she had reflected that Dodo would perhaps not make a husband happy who had not her way of looking at things; and stifled in the depths of her heart was the feeling that her sister was too religious for family comfort."
223,"Notions and scruples were like spilt needles, making one afraid of treading, or sitting down, or even eating."
224,"When Miss Brooke was at the tea-table, Sir James came to sit down by her, not having felt her mode of answering him at all offensive."
225,Why should he?
226,"He thought it probable that Miss Brooke liked him, and manners must be very marked indeed before they cease to be interpreted by preconceptions either confident or distrustful."
227,"She was thoroughly charming to him, but of course he theorized a little about his attachment."
228,"He was made of excellent human dough, and had the rare merit of knowing that his talents, even if let loose, would not set the smallest stream in the county on fire: hence he liked the prospect of a wife to whom he could say, “What shall we do?” about this or that; who could help her husband out with reasons, and would also have the property qualification for doing so."
229,"As to the excessive religiousness alleged against Miss Brooke, he had a very indefinite notion of what it consisted in, and thought that it would die out with marriage."
230,"In short, he felt himself to be in love in the right place, and was ready to endure a great deal of predominance, which, after all, a man could always put down when he liked."
231,"Sir James had no idea that he should ever like to put down the predominance of this handsome girl, in whose cleverness he delighted."
232,Why not?
233,"A man’s mind—what there is of it—has always the advantage of being masculine,—as the smallest birch-tree is of a higher kind than the most soaring palm,—and even his ignorance is of a sounder quality."
234,Sir James might not have originated this estimate; but a kind Providence furnishes the limpest personality with a little gum or starch in the form of tradition.
235,"“Let me hope that you will rescind that resolution about the horse, Miss Brooke,” said the persevering admirer."
236,"“I assure you, riding is the most healthy of exercises.”  “I am aware of it,” said Dorothea, coldly."
237,"“I think it would do Celia good—if she would take to it.”  “But you are such a perfect horsewoman.”  “Excuse me; I have had very little practice, and I should be easily thrown.”  “Then that is a reason for more practice."
238,"Every lady ought to be a perfect horsewoman, that she may accompany her husband.”  “You see how widely we differ, Sir James."
239,"I have made up my mind that I ought not to be a perfect horsewoman, and so I should never correspond to your pattern of a lady.” Dorothea looked straight before her, and spoke with cold brusquerie, very much with the air of a handsome boy, in amusing contrast with the solicitous amiability of her admirer."
240,“I should like to know your reasons for this cruel resolution.
241,"It is not possible that you should think horsemanship wrong.”  “It is quite possible that I should think it wrong for me.”  “Oh, why?” said Sir James, in a tender tone of remonstrance."
242,"Mr. Casaubon had come up to the table, teacup in hand, and was listening."
243,"“We must not inquire too curiously into motives,” he interposed, in his measured way."
244,“Miss Brooke knows that they are apt to become feeble in the utterance: the aroma is mixed with the grosser air.
245,"We must keep the germinating grain away from the light.”  Dorothea colored with pleasure, and looked up gratefully to the speaker."
246,"Here was a man who could understand the higher inward life, and with whom there could be some spiritual communion; nay, who could illuminate principle with the widest knowledge: a man whose learning almost amounted to a proof of whatever he believed!"
247,"Dorothea’s inferences may seem large; but really life could never have gone on at any period but for this liberal allowance of conclusions, which has facilitated marriage under the difficulties of civilization."
248,Has any one ever pinched into its pilulous smallness the cobweb of pre-matrimonial acquaintanceship?
249,"“Certainly,” said good Sir James."
250,“Miss Brooke shall not be urged to tell reasons she would rather be silent upon.
251,"I am sure her reasons would do her honor.”  He was not in the least jealous of the interest with which Dorothea had looked up at Mr. Casaubon: it never occurred to him that a girl to whom he was meditating an offer of marriage could care for a dried bookworm towards fifty, except, indeed, in a religious sort of way, as for a clergyman of some distinction."
252,"However, since Miss Brooke had become engaged in a conversation with Mr. Casaubon about the Vaudois clergy, Sir James betook himself to Celia, and talked to her about her sister; spoke of a house in town, and asked whether Miss Brooke disliked London."
253,"Away from her sister, Celia talked quite easily, and Sir James said to himself that the second Miss Brooke was certainly very agreeable as well as pretty, though not, as some people pretended, more clever and sensible than the elder sister."
254,He felt that he had chosen the one who was in all respects the superior; and a man naturally likes to look forward to having the best.
255,He would be the very Mawworm of bachelors who pretended not to expect it.
256," “Say, goddess, what ensued, when Raphael, The affable archangel ."
257,". .                     Eve The story heard attentive, and was filled With admiration, and deep muse, to hear Of things so high and strange.” —Paradise Lost, B. vii."
258,"If it had really occurred to Mr. Casaubon to think of Miss Brooke as a suitable wife for him, the reasons that might induce her to accept him were already planted in her mind, and by the evening of the next day the reasons had budded and bloomed."
