,0
155,"O might a parent’s careful wish prevail, Far, far from Ilion should thy vessels sail, And thou, from camps remote, the danger shun Which now, alas!"
156,too nearly threats my son.
157,Yet (what I can) to move thy suit I’ll go To great Olympus crown’d with fleecy snow.
158,"Meantime, secure within thy ships, from far Behold the field, not mingle in the war."
159,"The sire of gods and all the ethereal train, On the warm limits of the farthest main, Now mix with mortals, nor disdain to grace The feasts of Æthiopia’s blameless race,[66] Twelve days the powers indulge the genial rite, Returning with the twelfth revolving light."
160,"Then will I mount the brazen dome, and move The high tribunal of immortal Jove.”  The goddess spoke: the rolling waves unclose; Then down the steep she plunged from whence she rose, And left him sorrowing on the lonely coast, In wild resentment for the fair he lost."
161,"In Chrysa’s port now sage Ulysses rode; Beneath the deck the destined victims stow’d: The sails they furl’d, they lash the mast aside, And dropp’d their anchors, and the pinnace tied."
162,Next on the shore their hecatomb they land; Chryseïs last descending on the strand.
163,"Her, thus returning from the furrow’d main, Ulysses led to Phœbus’ sacred fane; Where at his solemn altar, as the maid He gave to Chryses, thus the hero said:  “Hail, reverend priest!"
164,"to Phœbus’ awful dome A suppliant I from great Atrides come: Unransom’d, here receive the spotless fair; Accept the hecatomb the Greeks prepare; And may thy god who scatters darts around, Atoned by sacrifice, desist to wound.”[67]  At this, the sire embraced the maid again, So sadly lost, so lately sought in vain."
165,"Then near the altar of the darting king, Disposed in rank their hecatomb they bring; With water purify their hands, and take The sacred offering of the salted cake; While thus with arms devoutly raised in air, And solemn voice, the priest directs his prayer:  “God of the silver bow, thy ear incline, Whose power incircles Cilla the divine; Whose sacred eye thy Tenedos surveys, And gilds fair Chrysa with distinguish’d rays!"
166,"If, fired to vengeance at thy priest’s request, Thy direful darts inflict the raging pest: Once more attend!"
167,"avert the wasteful woe, And smile propitious, and unbend thy bow.”  So Chryses pray’d."
168,"Apollo heard his prayer: And now the Greeks their hecatomb prepare; Between their horns the salted barley threw, And, with their heads to heaven, the victims slew:[68] The limbs they sever from the inclosing hide; The thighs, selected to the gods, divide: On these, in double cauls involved with art, The choicest morsels lay from every part."
169,"The priest himself before his altar stands, And burns the offering with his holy hands."
170,"Pours the black wine, and sees the flames aspire; The youth with instruments surround the fire: The thighs thus sacrificed, and entrails dress’d, The assistants part, transfix, and roast the rest: Then spread the tables, the repast prepare; Each takes his seat, and each receives his share."
171,"When now the rage of hunger was repress’d, With pure libations they conclude the feast; The youths with wine the copious goblets crown’d,[69] And, pleased, dispense the flowing bowls around With hymns divine the joyous banquet ends, The pæans lengthen’d till the sun descends: The Greeks, restored, the grateful notes prolong; Apollo listens, and approves the song."
172,"’Twas night; the chiefs beside their vessel lie, Till rosy morn had purpled o’er the sky: Then launch, and hoist the mast: indulgent gales, Supplied by Phœbus, fill the swelling sails; The milk-white canvas bellying as they blow, The parted ocean foams and roars below: Above the bounding billows swift they flew, Till now the Grecian camp appear’d in view."
173,"Far on the beach they haul their bark to land, (The crooked keel divides the yellow sand,) Then part, where stretch’d along the winding bay, The ships and tents in mingled prospect lay."
174,"But raging still, amidst his navy sat The stern Achilles, stedfast in his hate; Nor mix’d in combat, nor in council join’d; But wasting cares lay heavy on his mind: In his black thoughts revenge and slaughter roll, And scenes of blood rise dreadful in his soul."
175,"Twelve days were past, and now the dawning light The gods had summon’d to the Olympian height: Jove, first ascending from the watery bowers, Leads the long order of ethereal powers."
176,"When, like the morning-mist in early day, Rose from the flood the daughter of the sea: And to the seats divine her flight address’d."
177,"There, far apart, and high above the rest, The thunderer sat; where old Olympus shrouds His hundred heads in heaven, and props the clouds."
178,"Suppliant the goddess stood: one hand she placed Beneath his beard, and one his knees embraced."
179,"“If e’er, O father of the gods!"
180,"(she said) My words could please thee, or my actions aid, Some marks of honour on my son bestow, And pay in glory what in life you owe."
181,"Fame is at least by heavenly promise due To life so short, and now dishonour’d too."
182,"Avenge this wrong, O ever just and wise!"
183,"Let Greece be humbled, and the Trojans rise; Till the proud king and all the Achaian race Shall heap with honours him they now disgrace.”   [Illustration: ] THETIS ENTREATING JUPITER TO HONOUR ACHILLES   Thus Thetis spoke; but Jove in silence held The sacred counsels of his breast conceal’d."
184,"Not so repulsed, the goddess closer press’d, Still grasp’d his knees, and urged the dear request."
185,“O sire of gods and men!
186,"thy suppliant hear; Refuse, or grant; for what has Jove to fear?"
187,Or oh!
188,"declare, of all the powers above, Is wretched Thetis least the care of Jove?”  She said; and, sighing, thus the god replies, Who rolls the thunder o’er the vaulted skies:  “What hast thou ask’d?"
189,"ah, why should Jove engage In foreign contests and domestic rage, The gods’ complaints, and Juno’s fierce alarms, While I, too partial, aid the Trojan arms?"
190,"Go, lest the haughty partner of my sway With jealous eyes thy close access survey; But part in peace, secure thy prayer is sped: Witness the sacred honours of our head, The nod that ratifies the will divine, The faithful, fix’d, irrevocable sign; This seals thy suit, and this fulfils thy vows—” He spoke, and awful bends his sable brows,[70] Shakes his ambrosial curls, and gives the nod, The stamp of fate and sanction of the god: High heaven with trembling the dread signal took, And all Olympus to the centre shook."
191,"[71]  Swift to the seas profound the goddess flies, Jove to his starry mansions in the skies."
192,"The shining synod of the immortals wait The coming god, and from their thrones of state Arising silent, wrapp’d in holy fear, Before the majesty of heaven appear."
193,"Trembling they stand, while Jove assumes the throne, All, but the god’s imperious queen alone: Late had she view’d the silver-footed dame, And all her passions kindled into flame."
194,"“Say, artful manager of heaven (she cries), Who now partakes the secrets of the skies?"
195,"Thy Juno knows not the decrees of fate, In vain the partner of imperial state."
196,"What favourite goddess then those cares divides, Which Jove in prudence from his consort hides?”  To this the thunderer: “Seek not thou to find The sacred counsels of almighty mind: Involved in darkness lies the great decree, Nor can the depths of fate be pierced by thee."
197,"What fits thy knowledge, thou the first shalt know; The first of gods above, and men below; But thou, nor they, shall search the thoughts that roll Deep in the close recesses of my soul.”  Full on the sire the goddess of the skies Roll’d the large orbs of her majestic eyes, And thus return’d:—“Austere Saturnius, say, From whence this wrath, or who controls thy sway?"
198,"Thy boundless will, for me, remains in force, And all thy counsels take the destined course."
199,"But ’tis for Greece I fear: for late was seen, In close consult, the silver-footed queen."
200,"Jove to his Thetis nothing could deny, Nor was the signal vain that shook the sky."
201,"What fatal favour has the goddess won, To grace her fierce, inexorable son?"
202,"Perhaps in Grecian blood to drench the plain, And glut his vengeance with my people slain.”  Then thus the god: “O restless fate of pride, That strives to learn what heaven resolves to hide; Vain is the search, presumptuous and abhorr’d, Anxious to thee, and odious to thy lord."
203,"Let this suffice: the immutable decree No force can shake: what is, that ought to be."
204,"Goddess, submit; nor dare our will withstand, But dread the power of this avenging hand: The united strength of all the gods above In vain resists the omnipotence of Jove.”   [Illustration: ] VULCAN   The thunderer spoke, nor durst the queen reply; A reverent horror silenced all the sky."
205,"The feast disturb’d, with sorrow Vulcan saw His mother menaced, and the gods in awe; Peace at his heart, and pleasure his design, Thus interposed the architect divine: “The wretched quarrels of the mortal state Are far unworthy, gods!"
206,"of your debate: Let men their days in senseless strife employ, We, in eternal peace and constant joy."
207,"Thou, goddess-mother, with our sire comply, Nor break the sacred union of the sky: Lest, roused to rage, he shake the bless’d abodes, Launch the red lightning, and dethrone the gods."
208,"If you submit, the thunderer stands appeased; The gracious power is willing to be pleased.”  Thus Vulcan spoke: and rising with a bound, The double bowl with sparkling nectar crown’d,[72] Which held to Juno in a cheerful way, “Goddess (he cried), be patient and obey."
209,"Dear as you are, if Jove his arm extend, I can but grieve, unable to defend."
210,"What god so daring in your aid to move, Or lift his hand against the force of Jove?"
211,"Once in your cause I felt his matchless might, Hurl’d headlong down from the ethereal height;[73] Toss’d all the day in rapid circles round, Nor till the sun descended touch’d the ground."
212,"Breathless I fell, in giddy motion lost; The Sinthians raised me on the Lemnian coast;[74]  He said, and to her hands the goblet heaved, Which, with a smile, the white-arm’d queen received Then, to the rest he fill’d; and in his turn, Each to his lips applied the nectar’d urn, Vulcan with awkward grace his office plies, And unextinguish’d laughter shakes the skies."
213,"Thus the blest gods the genial day prolong, In feasts ambrosial, and celestial song."
214,[75] Apollo tuned the lyre; the Muses round With voice alternate aid the silver sound.
